Input,Result,Assignment
cnf_68.cnf,UNSAT,
cnf_680.cnf,UNSAT,
cnf_681.cnf,UNSAT,
cnf_682.cnf,SAT,
cnf_683.cnf,UNSAT,
cnf_684.cnf,UNSAT,
cnf_685.cnf,UNSAT,
cnf_686.cnf,UNSAT,
cnf_687.cnf,UNSAT,
cnf_688.cnf,UNSAT,
cnf_689.cnf,UNSAT,
cnf_69.cnf,UNSAT,
cnf_690.cnf,SAT,
cnf_691.cnf,UNSAT,
cnf_692.cnf,UNSAT,
cnf_693.cnf,UNSAT,
cnf_694.cnf,UNSAT,
cnf_695.cnf,UNSAT,
cnf_696.cnf,UNSAT,
cnf_697.cnf,UNSAT,
cnf_698.cnf,UNSAT,
cnf_699.cnf,UNSAT,
cnf_7.cnf,UNSAT,
cnf_70.cnf,UNSAT,
cnf_700.cnf,UNSAT,
cnf_701.cnf,UNSAT,
cnf_702.cnf,UNSAT,
cnf_703.cnf,UNSAT,
cnf_704.cnf,UNSAT,
cnf_705.cnf,SAT,
cnf_706.cnf,UNSAT,
cnf_707.cnf,UNSAT,
cnf_708.cnf,UNSAT,
cnf_709.cnf,SAT,
cnf_71.cnf,UNSAT,
cnf_710.cnf,UNSAT,
cnf_711.cnf,UNSAT,
cnf_712.cnf,UNSAT,
cnf_713.cnf,UNSAT,
cnf_714.cnf,UNSAT,
cnf_715.cnf,UNSAT,
cnf_716.cnf,UNSAT,
cnf_717.cnf,UNSAT,
cnf_718.cnf,UNSAT,
cnf_719.cnf,UNSAT,
cnf_72.cnf,UNSAT,
cnf_720.cnf,UNSAT,
cnf_721.cnf,UNSAT,
cnf_722.cnf,UNSAT,
cnf_723.cnf,UNSAT,
cnf_724.cnf,UNSAT,
cnf_725.cnf,UNSAT,
cnf_726.cnf,UNSAT,
cnf_727.cnf,SAT,
cnf_728.cnf,SAT,
cnf_729.cnf,UNSAT,
cnf_73.cnf,UNSAT,
cnf_730.cnf,UNSAT,
cnf_731.cnf,UNSAT,
cnf_732.cnf,UNSAT,
cnf_733.cnf,UNSAT,
cnf_734.cnf,SAT,
cnf_735.cnf,SAT,
cnf_736.cnf,UNSAT,
cnf_737.cnf,UNSAT,
cnf_738.cnf,SAT,
cnf_739.cnf,UNSAT,
cnf_74.cnf,UNSAT,
cnf_740.cnf,UNSAT,
cnf_741.cnf,UNSAT,
cnf_742.cnf,SAT,
cnf_743.cnf,UNSAT,
cnf_744.cnf,UNSAT,
cnf_745.cnf,UNSAT,
cnf_746.cnf,UNSAT,
cnf_747.cnf,UNSAT,
cnf_748.cnf,UNSAT,
cnf_749.cnf,UNSAT,
cnf_75.cnf,UNSAT,
cnf_750.cnf,UNSAT,
cnf_751.cnf,UNSAT,
cnf_752.cnf,UNSAT,
cnf_753.cnf,UNSAT,
cnf_754.cnf,UNSAT,
cnf_755.cnf,UNSAT,
cnf_756.cnf,UNSAT,
cnf_757.cnf,UNSAT,
cnf_758.cnf,UNSAT,
cnf_759.cnf,UNSAT,
cnf_76.cnf,UNSAT,
cnf_760.cnf,UNSAT,
cnf_761.cnf,UNSAT,
cnf_762.cnf,SAT,
cnf_763.cnf,UNSAT,
cnf_764.cnf,SAT,
cnf_765.cnf,SAT,
cnf_766.cnf,SAT,
cnf_767.cnf,UNSAT,
cnf_768.cnf,SAT,
cnf_769.cnf,SAT,
cnf_77.cnf,SAT,
cnf_770.cnf,UNSAT,
cnf_771.cnf,UNSAT,
cnf_772.cnf,SAT,
cnf_773.cnf,SAT,
cnf_774.cnf,UNSAT,
cnf_775.cnf,UNSAT,
cnf_776.cnf,UNSAT,
cnf_777.cnf,SAT,
cnf_778.cnf,UNSAT,
cnf_779.cnf,SAT,
cnf_78.cnf,SAT,
cnf_780.cnf,UNSAT,
cnf_781.cnf,UNSAT,
cnf_782.cnf,SAT,
cnf_783.cnf,SAT,
cnf_784.cnf,SAT,
cnf_785.cnf,UNSAT,
cnf_786.cnf,UNSAT,
cnf_787.cnf,UNSAT,
cnf_788.cnf,UNSAT,
cnf_789.cnf,UNSAT,
cnf_79.cnf,UNSAT,
cnf_790.cnf,UNSAT,
cnf_791.cnf,SAT,
cnf_792.cnf,UNSAT,
cnf_793.cnf,UNSAT,
cnf_794.cnf,UNSAT,
cnf_795.cnf,UNSAT,
cnf_796.cnf,UNSAT,
cnf_797.cnf,UNSAT,
cnf_798.cnf,UNSAT,
cnf_799.cnf,SAT,
cnf_8.cnf,UNSAT,
cnf_80.cnf,UNSAT,
cnf_800.cnf,UNSAT,
cnf_801.cnf,UNSAT,
cnf_802.cnf,UNSAT,
cnf_803.cnf,UNSAT,
cnf_804.cnf,UNSAT,
cnf_805.cnf,UNSAT,
cnf_806.cnf,SAT,
cnf_807.cnf,SAT,
cnf_808.cnf,UNSAT,
cnf_809.cnf,SAT,
cnf_81.cnf,SAT,
cnf_810.cnf,SAT,
cnf_811.cnf,UNSAT,
cnf_812.cnf,UNSAT,
cnf_813.cnf,UNSAT,
cnf_814.cnf,UNSAT,
cnf_815.cnf,UNSAT,
cnf_816.cnf,UNSAT,
cnf_817.cnf,UNSAT,
cnf_818.cnf,UNSAT,
cnf_819.cnf,UNSAT,
cnf_82.cnf,UNSAT,
cnf_820.cnf,UNSAT,
cnf_821.cnf,UNSAT,
cnf_822.cnf,UNSAT,
cnf_823.cnf,UNSAT,
cnf_824.cnf,UNSAT,
cnf_825.cnf,UNSAT,
cnf_826.cnf,UNSAT,
cnf_827.cnf,UNSAT,
cnf_828.cnf,UNSAT,
cnf_829.cnf,UNSAT,
cnf_83.cnf,UNSAT,
cnf_830.cnf,UNSAT,
cnf_831.cnf,UNSAT,
cnf_832.cnf,SAT,
cnf_833.cnf,UNSAT,
cnf_834.cnf,UNSAT,
cnf_835.cnf,UNSAT,
cnf_836.cnf,SAT,
cnf_837.cnf,UNSAT,
cnf_838.cnf,UNSAT,
cnf_839.cnf,UNSAT,
cnf_84.cnf,UNSAT,
cnf_840.cnf,SAT,
cnf_841.cnf,UNSAT,
cnf_842.cnf,UNSAT,
cnf_843.cnf,SAT,
cnf_844.cnf,UNSAT,
cnf_845.cnf,UNSAT,
cnf_846.cnf,UNSAT,
cnf_847.cnf,SAT,
cnf_848.cnf,UNSAT,
cnf_849.cnf,UNSAT,
cnf_85.cnf,UNSAT,
cnf_850.cnf,UNSAT,
cnf_851.cnf,SAT,
cnf_852.cnf,UNSAT,
cnf_853.cnf,UNSAT,
cnf_854.cnf,UNSAT,
cnf_855.cnf,UNSAT,
cnf_856.cnf,UNSAT,
